,date,dayofyear,month,target_date,target_dayofyear,target_month,leadtime,mae,forecast_name
0,2015-01-01,1,1,2015-01-02,2,1,1,1.088392620780252,IceNet
1,2015-01-01,1,1,2015-01-03,3,1,2,1.698215965097603,IceNet
2,2015-01-01,1,1,2015-01-04,4,1,3,2.261213856090202,IceNet
3,2015-01-01,1,1,2015-01-05,5,1,4,1.8001709013852223,IceNet
4,2015-01-01,1,1,2015-01-06,6,1,5,1.4118269420970584,IceNet
5,2015-01-01,1,1,2015-01-07,7,1,6,1.2089337388818904,IceNet
6,2015-01-01,1,1,2015-01-08,8,1,7,1.3531064123673875,IceNet
7,2015-01-01,1,1,2015-01-09,9,1,8,1.1059207702983502,IceNet
8,2015-01-01,1,1,2015-01-10,10,1,9,1.133303553841332,IceNet
9,2015-01-01,1,1,2015-01-11,11,1,10,1.1293667873035784,IceNet
10,2015-01-01,1,1,2015-01-12,12,1,11,1.1806194208318526,IceNet
11,2015-01-01,1,1,2015-01-13,13,1,12,1.4213996105194082,IceNet
12,2015-01-01,1,1,2015-01-14,14,1,13,1.2987116140885788,IceNet
13,2015-01-01,1,1,2015-01-15,15,1,14,1.2855608915849164,IceNet
14,2015-01-01,1,1,2015-01-16,16,1,15,1.5419141270030625,IceNet
15,2015-01-01,1,1,2015-01-17,17,1,16,2.1029084838520387,IceNet
16,2015-01-01,1,1,2015-01-18,18,1,17,2.253234373612836,IceNet
17,2015-01-01,1,1,2015-01-19,19,1,18,1.8262913733395651,IceNet
18,2015-01-01,1,1,2015-01-20,20,1,19,1.7295305829481624,IceNet
19,2015-01-01,1,1,2015-01-21,21,1,20,2.278265899658201,IceNet
20,2015-01-01,1,1,2015-01-22,22,1,21,1.9155138794292097,IceNet
21,2015-01-01,1,1,2015-01-23,23,1,22,1.8162931468270025,IceNet
22,2015-01-01,1,1,2015-01-24,24,1,23,1.9124968757629386,IceNet
23,2015-01-01,1,1,2015-01-25,25,1,24,1.3972438931898643,IceNet
24,2015-01-01,1,1,2015-01-26,26,1,25,1.740155271356756,IceNet
25,2015-01-01,1,1,2015-01-27,27,1,26,2.0004377396323445,IceNet
26,2015-01-01,1,1,2015-01-28,28,1,27,2.233584942904384,IceNet
27,2015-01-01,1,1,2015-01-29,29,1,28,2.250599472739478,IceNet
28,2015-01-01,1,1,2015-01-30,30,1,29,2.928070731423117,IceNet
29,2015-01-01,1,1,2015-01-31,31,1,30,2.488996515274047,IceNet
30,2015-01-01,1,1,2015-02-01,32,2,31,1.8728864938562568,IceNet
31,2015-01-01,1,1,2015-02-02,33,2,32,0.9032808879505513,IceNet
32,2015-01-01,1,1,2015-02-03,34,2,33,1.400473415721546,IceNet
33,2015-01-01,1,1,2015-02-04,35,2,34,1.414866848512129,IceNet
34,2015-01-01,1,1,2015-02-05,36,2,35,2.313383719010786,IceNet
35,2015-01-01,1,1,2015-02-06,37,2,36,2.542874487270007,IceNet
36,2015-01-01,1,1,2015-02-07,38,2,37,2.930865527413107,IceNet
37,2015-01-01,1,1,2015-02-08,39,2,38,2.755666610891168,IceNet
38,2015-01-01,1,1,2015-02-09,40,2,39,2.994316170085559,IceNet
39,2015-01-01,1,1,2015-02-10,41,2,40,3.2677687383131535,IceNet
40,2015-01-01,1,1,2015-02-11,42,2,41,3.1162705199501715,IceNet
41,2015-01-01,1,1,2015-02-12,43,2,42,3.127152210062198,IceNet
42,2015-01-01,1,1,2015-02-13,44,2,43,3.707539559971201,IceNet
43,2015-01-01,1,1,2015-02-14,45,2,44,2.4949121433604837,IceNet
44,2015-01-01,1,1,2015-02-15,46,2,45,3.004296064723621,IceNet
45,2015-01-01,1,1,2015-02-16,47,2,46,3.5517119223854747,IceNet
46,2015-01-01,1,1,2015-02-17,48,2,47,2.8007259592576443,IceNet
47,2015-01-01,1,1,2015-02-18,49,2,48,2.8494458791559376,IceNet
48,2015-01-01,1,1,2015-02-19,50,2,49,2.945078658710826,IceNet
49,2015-01-01,1,1,2015-02-20,51,2,50,3.2998950616663136,IceNet
50,2015-01-01,1,1,2015-02-21,52,2,51,2.739017103888771,IceNet
51,2015-01-01,1,1,2015-02-22,53,2,52,1.3456046621149227,IceNet
52,2015-01-01,1,1,2015-02-23,54,2,53,1.591308117606423,IceNet
53,2015-01-01,1,1,2015-02-24,55,2,54,1.8736919149918982,IceNet
54,2015-01-01,1,1,2015-02-25,56,2,55,2.3140191634785015,IceNet
55,2015-01-01,1,1,2015-02-26,57,2,56,2.0204715629924412,IceNet
56,2015-01-01,1,1,2015-02-27,58,2,57,2.4720010452270498,IceNet
57,2015-01-01,1,1,2015-02-28,59,2,58,3.2398166224739744,IceNet
58,2015-01-01,1,1,2015-03-01,60,3,59,3.064767694473264,IceNet
59,2015-01-01,1,1,2015-03-02,61,3,60,2.557201566522771,IceNet
60,2015-01-01,1,1,2015-03-03,62,3,61,2.421511951966718,IceNet
61,2015-01-01,1,1,2015-03-04,63,3,62,2.4830758054906648,IceNet
62,2015-01-01,1,1,2015-03-05,64,3,63,2.2227393840443015,IceNet
63,2015-01-01,1,1,2015-03-06,65,3,64,1.819091528112237,IceNet
64,2015-01-01,1,1,2015-03-07,66,3,65,1.7801079758730793,IceNet
65,2015-01-01,1,1,2015-03-08,67,3,66,1.7636791796250755,IceNet
66,2015-01-01,1,1,2015-03-09,68,3,67,1.714411791021174,IceNet
67,2015-01-01,1,1,2015-03-10,69,3,68,2.1360615236108944,IceNet
68,2015-01-01,1,1,2015-03-11,70,3,69,2.3855122502066863,IceNet
69,2015-01-01,1,1,2015-03-12,71,3,70,2.579879078258165,IceNet
70,2015-01-01,1,1,2015-03-13,72,3,71,2.0824994544982904,IceNet
71,2015-01-01,1,1,2015-03-14,73,3,72,1.3396357399333614,IceNet
72,2015-01-01,1,1,2015-03-15,74,3,73,1.7781755319075139,IceNet
73,2015-01-01,1,1,2015-03-16,75,3,74,3.126473542646926,IceNet
74,2015-01-01,1,1,2015-03-17,76,3,75,3.262289764577691,IceNet
75,2015-01-01,1,1,2015-03-18,77,3,76,2.889775438135319,IceNet
76,2015-01-01,1,1,2015-03-19,78,3,77,1.3915138501253996,IceNet
77,2015-01-01,1,1,2015-03-20,79,3,78,1.427959444392812,IceNet
78,2015-01-01,1,1,2015-03-21,80,3,79,1.83940950792486,IceNet
79,2015-01-01,1,1,2015-03-22,81,3,80,1.649777532404119,IceNet
80,2015-01-01,1,1,2015-03-23,82,3,81,1.7207344297929246,IceNet
81,2015-01-01,1,1,2015-03-24,83,3,82,2.028304115468805,IceNet
82,2015-01-01,1,1,2015-03-25,84,3,83,1.9877266961877995,IceNet
83,2015-01-01,1,1,2015-03-26,85,3,84,1.9976454472975307,IceNet
84,2015-01-01,1,1,2015-03-27,86,3,85,1.266032986380838,IceNet
85,2015-01-01,1,1,2015-03-28,87,3,86,1.2822474242123685,IceNet
86,2015-01-01,1,1,2015-03-29,88,3,87,1.272194062146274,IceNet
87,2015-01-01,1,1,2015-03-30,89,3,88,1.5339463405609122,IceNet
88,2015-01-01,1,1,2015-03-31,90,3,89,2.170395857377484,IceNet
89,2015-01-01,1,1,2015-04-01,91,4,90,2.6821072240309265,IceNet
90,2015-01-01,1,1,2015-04-02,92,4,91,2.8285416731400925,IceNet
91,2015-01-01,1,1,2015-04-03,93,4,92,2.8458323398936853,IceNet
92,2015-01-01,1,1,2015-04-04,94,4,93,3.32142884861339,IceNet
0,2015-02-01,32,2,2015-02-02,33,2,1,0.9349904729669752,IceNet
1,2015-02-01,32,2,2015-02-03,34,2,2,1.331853630412707,IceNet
2,2015-02-01,32,2,2015-02-04,35,2,3,1.215826248168946,IceNet
3,2015-02-01,32,2,2015-02-05,36,2,4,2.1062892230640746,IceNet
