date,obs_id,doy,migration_year,sic,day_index
01/10/2015,0,319,2015,0,-45
02/10/2015,0,319,2015,0,-44
03/10/2015,0,319,2015,0,-43
04/10/2015,0,319,2015,0,-42
05/10/2015,0,319,2015,0,-41
06/10/2015,0,319,2015,0,-40
07/10/2015,0,319,2015,0,-39
08/10/2015,0,319,2015,0,-38
09/10/2015,0,319,2015,0,-37
10/10/2015,0,319,2015,0,-36
11/10/2015,0,319,2015,0,-35
12/10/2015,0,319,2015,0,-34
13/10/2015,0,319,2015,0,-33
14/10/2015,0,319,2015,0,-32
15/10/2015,0,319,2015,0,-31
16/10/2015,0,319,2015,1.6517302,-30
17/10/2015,0,319,2015,0,-29
18/10/2015,0,319,2015,0,-28
19/10/2015,0,319,2015,3.3932743,-27
20/10/2015,0,319,2015,0,-26
21/10/2015,0,319,2015,20.997652,-25
22/10/2015,0,319,2015,12.445909,-24
23/10/2015,0,319,2015,22.376984,-23
24/10/2015,0,319,2015,19.259865,-22
25/10/2015,0,319,2015,6.7437267,-21
26/10/2015,0,319,2015,19.640919,-20
27/10/2015,0,319,2015,56.903416,-19
28/10/2015,0,319,2015,59.202526,-18
29/10/2015,0,319,2015,79.421,-17
30/10/2015,0,319,2015,61.156162,-16
31/10/2015,0,319,2015,37.8985,-15
01/11/2015,0,319,2015,93.27361,-14
02/11/2015,0,319,2015,89.294495,-13
03/11/2015,0,319,2015,80.724846,-12
04/11/2015,0,319,2015,62.25174,-11
05/11/2015,0,319,2015,78.43768,-10
06/11/2015,0,319,2015,77.317474,-9
07/11/2015,0,319,2015,68.4944,-8
08/11/2015,0,319,2015,87.56464,-7
09/11/2015,0,319,2015,88.30116,-6
10/11/2015,0,319,2015,98.17557,-5
11/11/2015,0,319,2015,93.22421,-4
12/11/2015,0,319,2015,69.20567,-3
13/11/2015,0,319,2015,69.33559,-2
14/11/2015,0,319,2015,80.28944,-1
15/11/2015,0,319,2015,88.45125,0
16/11/2015,0,319,2015,87.22007,1
17/11/2015,0,319,2015,99.687126,2
18/11/2015,0,319,2015,97.28044,3
19/11/2015,0,319,2015,61.505405,4
20/11/2015,0,319,2015,37.25451,5
21/11/2015,0,319,2015,84.1563,6
22/11/2015,0,319,2015,97.37078,7
23/11/2015,0,319,2015,92.8262,8
24/11/2015,0,319,2015,85.89053,9
25/11/2015,0,319,2015,94.11036,10
26/11/2015,0,319,2015,100,11
27/11/2015,0,319,2015,99.18863,12
28/11/2015,0,319,2015,100,13
29/11/2015,0,319,2015,97.94255,14
30/11/2015,0,319,2015,96.15638,15
01/12/2015,0,319,2015,99.4376,16
02/12/2015,0,319,2015,100,17
03/12/2015,0,319,2015,98.64273,18
04/12/2015,0,319,2015,100,19
05/12/2015,0,319,2015,100,20
06/12/2015,0,319,2015,100,21
07/12/2015,0,319,2015,97.909355,22
08/12/2015,0,319,2015,98.81179,23
09/12/2015,0,319,2015,99.11714,24
10/12/2015,0,319,2015,98.69767,25
11/12/2015,0,319,2015,99.14816,26
12/12/2015,0,319,2015,100,27
13/12/2015,0,319,2015,100,28
14/12/2015,0,319,2015,95.57556,29
15/12/2015,0,319,2015,98.93874,30
16/12/2015,0,319,2015,97.84811,31
17/12/2015,0,319,2015,95.34592,32
18/12/2015,0,319,2015,95.26955,33
19/12/2015,0,319,2015,98.23034,34
20/12/2015,0,319,2015,97.89787,35
21/12/2015,0,319,2015,99.79217,36
22/12/2015,0,319,2015,97.30983,37
23/12/2015,0,319,2015,96.73603,38
24/12/2015,0,319,2015,97.59193,39
25/12/2015,0,319,2015,99.913,40
26/12/2015,0,319,2015,97.73152,41
27/12/2015,0,319,2015,97.58733,42
28/12/2015,0,319,2015,98.8315,43
29/12/2015,0,319,2015,98.370384,44
30/12/2015,0,319,2015,97.720215,45
16/09/2015,1,304,2015,0,-45
17/09/2015,1,304,2015,0,-44
18/09/2015,1,304,2015,10.796557,-43
19/09/2015,1,304,2015,0,-42
20/09/2015,1,304,2015,0,-41
21/09/2015,1,304,2015,0,-40
22/09/2015,1,304,2015,0,-39
23/09/2015,1,304,2015,0,-38
24/09/2015,1,304,2015,0,-37
25/09/2015,1,304,2015,0,-36
26/09/2015,1,304,2015,3.7950554,-35
27/09/2015,1,304,2015,0,-34
28/09/2015,1,304,2015,0,-33
29/09/2015,1,304,2015,0,-32
30/09/2015,1,304,2015,0,-31
01/10/2015,1,304,2015,0,-30
02/10/2015,1,304,2015,0,-29
03/10/2015,1,304,2015,0,-28
04/10/2015,1,304,2015,0,-27
05/10/2015,1,304,2015,0,-26
06/10/2015,1,304,2015,0,-25
07/10/2015,1,304,2015,0.75511825,-24
08/10/2015,1,304,2015,0,-23
09/10/2015,1,304,2015,0,-22
10/10/2015,1,304,2015,0,-21
11/10/2015,1,304,2015,0,-20
12/10/2015,1,304,2015,0,-19
13/10/2015,1,304,2015,0.5634991,-18
14/10/2015,1,304,2015,0,-17
15/10/2015,1,304,2015,0,-16
16/10/2015,1,304,2015,0,-15
17/10/2015,1,304,2015,0,-14
18/10/2015,1,304,2015,0,-13
19/10/2015,1,304,2015,7.544451,-12
20/10/2015,1,304,2015,7.8408732,-11
21/10/2015,1,304,2015,36.321587,-10
22/10/2015,1,304,2015,40.57416,-9
23/10/2015,1,304,2015,59.15476,-8
24/10/2015,1,304,2015,4.3462844,-7
25/10/2015,1,304,2015,8.408796,-6
26/10/2015,1,304,2015,11.87138,-5
27/10/2015,1,304,2015,87.25896,-4
28/10/2015,1,304,2015,36.787685,-3
29/10/2015,1,304,2015,66.24764,-2
30/10/2015,1,304,2015,79.65893,-1
31/10/2015,1,304,2015,90.01316,0
01/11/2015,1,304,2015,83.59412,1
02/11/2015,1,304,2015,76.802185,2
03/11/2015,1,304,2015,94.16891,3
04/11/2015,1,304,2015,98.92279,4
05/11/2015,1,304,2015,100,5
06/11/2015,1,304,2015,100,6
07/11/2015,1,304,2015,97.24576,7
08/11/2015,1,304,2015,92.04495,8
09/11/2015,1,304,2015,95.10789,9
10/11/2015,1,304,2015,100,10
11/11/2015,1,304,2015,100,11
12/11/2015,1,304,2015,79.38004,12
13/11/2015,1,304,2015,70.06069,13
14/11/2015,1,304,2015,88.617035,14
15/11/2015,1,304,2015,91.737686,15
16/11/2015,1,304,2015,92.54208,16
17/11/2015,1,304,2015,99.861176,17
18/11/2015,1,304,2015,59.990013,18
19/11/2015,1,304,2015,28.489489,19
20/11/2015,1,304,2015,0,20
21/11/2015,1,304,2015,74.08699,21
22/11/2015,1,304,2015,95.0609,22
23/11/2015,1,304,2015,98.619576,23
24/11/2015,1,304,2015,62.073174,24
25/11/2015,1,304,2015,60.52461,25
26/11/2015,1,304,2015,97.668076,26
27/11/2015,1,304,2015,97.632,27
28/11/2015,1,304,2015,99.57333,28
29/11/2015,1,304,2015,100,29
30/11/2015,1,304,2015,99.72877,30
01/12/2015,1,304,2015,100,31
02/12/2015,1,304,2015,100,32
03/12/2015,1,304,2015,100,33
04/12/2015,1,304,2015,100,34
05/12/2015,1,304,2015,100,35
06/12/2015,1,304,2015,100,36
07/12/2015,1,304,2015,99.58953,37
08/12/2015,1,304,2015,99.30811,38
09/12/2015,1,304,2015,98.88443,39
10/12/2015,1,304,2015,99.57053,40
11/12/2015,1,304,2015,100,41
12/12/2015,1,304,2015,100,42
13/12/2015,1,304,2015,99.98702,43
14/12/2015,1,304,2015,100,44
15/12/2015,1,304,2015,100,45
30/09/2015,2,318,2015,0,-45
01/10/2015,2,318,2015,0,-44
02/10/2015,2,318,2015,0,-43
03/10/2015,2,318,2015,0,-42
04/10/2015,2,318,2015,0,-41
05/10/2015,2,318,2015,0,-40
06/10/2015,2,318,2015,0,-39
07/10/2015,2,318,2015,0,-38
08/10/2015,2,318,2015,0,-37
09/10/2015,2,318,2015,0,-36
10/10/2015,2,318,2015,0,-35
11/10/2015,2,318,2015,0,-34
12/10/2015,2,318,2015,0,-33
13/10/2015,2,318,2015,0,-32
14/10/2015,2,318,2015,0,-31
15/10/2015,2,318,2015,0,-30
16/10/2015,2,318,2015,0.049967423,-29
17/10/2015,2,318,2015,0,-28
18/10/2015,2,318,2015,0,-27
19/10/2015,2,318,2015,0,-26
20/10/2015,2,318,2015,0,-25
21/10/2015,2,318,2015,44.807278,-24
22/10/2015,2,318,2015,0.17306301,-23
23/10/2015,2,318,2015,45.063908,-22
24/10/2015,2,318,2015,20.945715,-21
25/10/2015,2,318,2015,3.7978675,-20
26/10/2015,2,318,2015,18.259762,-19
27/10/2015,2,318,2015,44.220943,-18
28/10/2015,2,318,2015,33.24128,-17
29/10/2015,2,318,2015,75.781235,-16
30/10/2015,2,318,2015,76.81867,-15
31/10/2015,2,318,2015,73.96939,-14
01/11/2015,2,318,2015,89.93786,-13
02/11/2015,2,318,2015,98.30808,-12
03/11/2015,2,318,2015,98.92399,-11
04/11/2015,2,318,2015,99.91726,-10
05/11/2015,2,318,2015,100,-9
06/11/2015,2,318,2015,100,-8
07/11/2015,2,318,2015,100,-7
08/11/2015,2,318,2015,99.362274,-6
09/11/2015,2,318,2015,100,-5
10/11/2015,2,318,2015,100,-4
11/11/2015,2,318,2015,100,-3
12/11/2015,2,318,2015,98.90568,-2
13/11/2015,2,318,2015,95.70854,-1
14/11/2015,2,318,2015,94.164024,0
15/11/2015,2,318,2015,97.250725,1
16/11/2015,2,318,2015,98.99939,2
17/11/2015,2,318,2015,99.05401,3
18/11/2015,2,318,2015,98.556816,4
19/11/2015,2,318,2015,24.86181,5
20/11/2015,2,318,2015,2.2656238,6
21/11/2015,2,318,2015,88.18031,7
22/11/2015,2,318,2015,98.76616,8
23/11/2015,2,318,2015,87.341896,9
24/11/2015,2,318,2015,26.323782,10
25/11/2015,2,318,2015,36.72445,11
26/11/2015,2,318,2015,98.969955,12
27/11/2015,2,318,2015,99.55329,13
28/11/2015,2,318,2015,99.99643,14
29/11/2015,2,318,2015,100,15
30/11/2015,2,318,2015,100,16
01/12/2015,2,318,2015,100,17
02/12/2015,2,318,2015,100,18
03/12/2015,2,318,2015,100,19
04/12/2015,2,318,2015,100,20
05/12/2015,2,318,2015,100,21
06/12/2015,2,318,2015,100,22
07/12/2015,2,318,2015,98.38246,23
08/12/2015,2,318,2015,99.967384,24
09/12/2015,2,318,2015,98.842064,25
10/12/2015,2,318,2015,99.73202,26
11/12/2015,2,318,2015,100,27
12/12/2015,2,318,2015,100,28
13/12/2015,2,318,2015,100,29
14/12/2015,2,318,2015,96.77057,30
15/12/2015,2,318,2015,99.98689,31
16/12/2015,2,318,2015,96.66529,32
17/12/2015,2,318,2015,96.251976,33
18/12/2015,2,318,2015,98.15625,34
19/12/2015,2,318,2015,97.759926,35
20/12/2015,2,318,2015,98.11111,36
21/12/2015,2,318,2015,100,37
22/12/2015,2,318,2015,97.67256,38
23/12/2015,2,318,2015,99.02573,39
24/12/2015,2,318,2015,96.81083,40
25/12/2015,2,318,2015,98.87436,41
26/12/2015,2,318,2015,99.32683,42
27/12/2015,2,318,2015,95.96091,43
28/12/2015,2,318,2015,98.450676,44
29/12/2015,2,318,2015,97.40552,45
15/10/2015,3,333,2015,0,-45
16/10/2015,3,333,2015,0,-44
17/10/2015,3,333,2015,3.225219,-43
18/10/2015,3,333,2015,16.23754,-42
19/10/2015,3,333,2015,3.8286333,-41
20/10/2015,3,333,2015,58.528072,-40
21/10/2015,3,333,2015,31.078754,-39
22/10/2015,3,333,2015,99.866516,-38
23/10/2015,3,333,2015,58.022476,-37
24/10/2015,3,333,2015,0.78141433,-36
25/10/2015,3,333,2015,6.7962966,-35
26/10/2015,3,333,2015,10.03794,-34
27/10/2015,3,333,2015,61.0364,-33
28/10/2015,3,333,2015,96.51843,-32
29/10/2015,3,333,2015,97.58733,-31
30/10/2015,3,333,2015,99.45186,-30
31/10/2015,3,333,2015,99.47708,-29
01/11/2015,3,333,2015,93.978294,-28
02/11/2015,3,333,2015,62.019993,-27
03/11/2015,3,333,2015,87.728836,-26
04/11/2015,3,333,2015,99.50115,-25
05/11/2015,3,333,2015,99.40768,-24
06/11/2015,3,333,2015,99.76383,-23
07/11/2015,3,333,2015,94.96657,-22
08/11/2015,3,333,2015,100,-21
09/11/2015,3,333,2015,100,-20
10/11/2015,3,333,2015,100,-19
11/11/2015,3,333,2015,100,-18
12/11/2015,3,333,2015,100,-17
13/11/2015,3,333,2015,97.011696,-16
14/11/2015,3,333,2015,97.30235,-15
15/11/2015,3,333,2015,98.96675,-14
16/11/2015,3,333,2015,99.70362,-13
17/11/2015,3,333,2015,98.86291,-12
18/11/2015,3,333,2015,47.90929,-11
19/11/2015,3,333,2015,0,-10
20/11/2015,3,333,2015,1.7502704,-9
21/11/2015,3,333,2015,15.528131,-8
22/11/2015,3,333,2015,89.88513,-7
23/11/2015,3,333,2015,97.289635,-6
24/11/2015,3,333,2015,85.04513,-5
25/11/2015,3,333,2015,92.229805,-4
26/11/2015,3,333,2015,98.52467,-3
27/11/2015,3,333,2015,99.93986,-2
28/11/2015,3,333,2015,100,-1
29/11/2015,3,333,2015,100,0
30/11/2015,3,333,2015,100,1
01/12/2015,3,333,2015,100,2
02/12/2015,3,333,2015,100,3
03/12/2015,3,333,2015,100,4
04/12/2015,3,333,2015,100,5
05/12/2015,3,333,2015,100,6
06/12/2015,3,333,2015,100,7
07/12/2015,3,333,2015,100,8
08/12/2015,3,333,2015,97.75052,9
09/12/2015,3,333,2015,99.75096,10
10/12/2015,3,333,2015,97.93804,11
11/12/2015,3,333,2015,100,12
12/12/2015,3,333,2015,100,13
13/12/2015,3,333,2015,100,14
14/12/2015,3,333,2015,99.83612,15
15/12/2015,3,333,2015,97.23528,16
16/12/2015,3,333,2015,97.308655,17
17/12/2015,3,333,2015,97.792015,18
18/12/2015,3,333,2015,97.0138,19
19/12/2015,3,333,2015,98.57648,20
20/12/2015,3,333,2015,97.83509,21
21/12/2015,3,333,2015,99.28453,22
22/12/2015,3,333,2015,96.47251,23
23/12/2015,3,333,2015,92.2689,24
24/12/2015,3,333,2015,95.06605,25
25/12/2015,3,333,2015,95.03144,26
26/12/2015,3,333,2015,98.83183,27
27/12/2015,3,333,2015,98.471115,28
28/12/2015,3,333,2015,93.30077,29
29/12/2015,3,333,2015,96.9586,30
30/12/2015,3,333,2015,94.48378,31
31/12/2015,3,333,2015,94.34431,32
01/01/2016,3,333,2015,99.86317,33
02/01/2016,3,333,2015,99.84703,34
03/01/2016,3,333,2015,99.509705,35
04/01/2016,3,333,2015,98.8983,36
05/01/2016,3,333,2015,96.645355,37
06/01/2016,3,333,2015,99.4878,38
07/01/2016,3,333,2015,96.675125,39
08/01/2016,3,333,2015,96.44984,40
09/01/2016,3,333,2015,98.18922,41
10/01/2016,3,333,2015,98.86903,42
11/01/2016,3,333,2015,98.575195,43
12/01/2016,3,333,2015,94.28325,44
13/01/2016,3,333,2015,97.19172,45
19/09/2015,4,307,2015,0,-45
20/09/2015,4,307,2015,0,-44
21/09/2015,4,307,2015,0,-43
22/09/2015,4,307,2015,0,-42
23/09/2015,4,307,2015,0,-41
24/09/2015,4,307,2015,0,-40
25/09/2015,4,307,2015,37.138485,-39
26/09/2015,4,307,2015,0,-38
27/09/2015,4,307,2015,17.889532,-37
28/09/2015,4,307,2015,0,-36
29/09/2015,4,307,2015,0,-35
30/09/2015,4,307,2015,0,-34
01/10/2015,4,307,2015,1.8117216,-33
02/10/2015,4,307,2015,0,-32
03/10/2015,4,307,2015,0,-31
04/10/2015,4,307,2015,0,-30
05/10/2015,4,307,2015,3.170083,-29
06/10/2015,4,307,2015,0,-28
07/10/2015,4,307,2015,0,-27
08/10/2015,4,307,2015,0,-26
09/10/2015,4,307,2015,0.31054702,-25
10/10/2015,4,307,2015,0,-24
11/10/2015,4,307,2015,0,-23
12/10/2015,4,307,2015,0,-22
13/10/2015,4,307,2015,0,-21
14/10/2015,4,307,2015,0,-20
15/10/2015,4,307,2015,0,-19
16/10/2015,4,307,2015,0,-18
17/10/2015,4,307,2015,0,-17
18/10/2015,4,307,2015,0,-16
19/10/2015,4,307,2015,23.113983,-15
20/10/2015,4,307,2015,18.414045,-14
21/10/2015,4,307,2015,19.934395,-13
22/10/2015,4,307,2015,89.13865,-12
23/10/2015,4,307,2015,36.11748,-11
24/10/2015,4,307,2015,1.9176235,-10
25/10/2015,4,307,2015,6.0131936,-9
26/10/2015,4,307,2015,12.384449,-8
27/10/2015,4,307,2015,65.17609,-7
28/10/2015,4,307,2015,40.65107,-6
29/10/2015,4,307,2015,76.912865,-5
30/10/2015,4,307,2015,88.63915,-4
31/10/2015,4,307,2015,90.69038,-3
01/11/2015,4,307,2015,85.0769,-2
02/11/2015,4,307,2015,36.831497,-1
03/11/2015,4,307,2015,62.358414,0
04/11/2015,4,307,2015,96.86242,1
05/11/2015,4,307,2015,96.02381,2
06/11/2015,4,307,2015,97.73659,3
07/11/2015,4,307,2015,96.68691,4
08/11/2015,4,307,2015,97.39155,5
09/11/2015,4,307,2015,97.944374,6
10/11/2015,4,307,2015,100,7
11/11/2015,4,307,2015,100,8
12/11/2015,4,307,2015,76.63699,9
13/11/2015,4,307,2015,81.171295,10
14/11/2015,4,307,2015,68.61325,11
15/11/2015,4,307,2015,87.94217,12
16/11/2015,4,307,2015,91.66269,13
17/11/2015,4,307,2015,99.542496,14
18/11/2015,4,307,2015,9.515335,15
19/11/2015,4,307,2015,7.2874,16
20/11/2015,4,307,2015,0,17
21/11/2015,4,307,2015,40.450737,18
22/11/2015,4,307,2015,92.06379,19
23/11/2015,4,307,2015,93.02499,20
24/11/2015,4,307,2015,18.63634,21
25/11/2015,4,307,2015,52.48323,22
26/11/2015,4,307,2015,93.11109,23
27/11/2015,4,307,2015,95.74453,24
28/11/2015,4,307,2015,99.741135,25
29/11/2015,4,307,2015,100,26
30/11/2015,4,307,2015,100,27
01/12/2015,4,307,2015,100,28
02/12/2015,4,307,2015,100,29
03/12/2015,4,307,2015,100,30
04/12/2015,4,307,2015,100,31
05/12/2015,4,307,2015,100,32
06/12/2015,4,307,2015,100,33
07/12/2015,4,307,2015,99.231735,34
08/12/2015,4,307,2015,98.0283,35
